Crash_Year,Crash_Police_Region,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Casualty_Count
2015,South Eastern,Hospitalised,17 to 24,Female,Driver,75
2016,North Coast,Medically treated,0 to 16,Female,Passenger,54
2016,South Eastern,Medically treated,0 to 16,Female,Passenger,45
2018,Southern,Medically treated,25 to 29,Male,Motorcyclist,2
2019,Brisbane,Medically treated,75 and over,Female,Passenger,8
2019,North Coast,Medically treated,25 to 29,Male,Motorcyclist,7
2019,Brisbane,Hospitalised,40 to 49,Female,Driver,69
2019,Southern,Medically treated,0 to 16,Female,Passenger,25
2019,Southern,Hospitalised,17 to 24,Male,Driver,78
2020,Southern,Hospitalised,40 to 49,Male,Driver,51
2018,South Eastern,Hospitalised,30 to 39,Male,Motorcyclist,51
2018,Brisbane,Medically treated,50 to 59,Male,Motorcyclist,20
2018,Brisbane,Hospitalised,40 to 49,Male,Motorcyclist,51
2019,Southern,Hospitalised,60 to 74,Female,Driver,32
2018,Central,Hospitalised,30 to 39,Male,Passenger,11
2019,Central,Hospitalised,0 to 16,Male,Passenger,16
2018,Central,Hospitalised,50 to 59,Male,Driver,31
2019,Southern,Medically treated,30 to 39,Male,Driver,36
2018,Central,Minor injury,40 to 49,Female,Driver,12
2020,North Coast,Medically treated,50 to 59,Male,Motorcyclist,13
2020,Southern,Minor injury,0 to 16,Male,Driver,2
2018,Far Northern,Hospitalised,25 to 29,Male,Driver,21
2019,South Eastern,Medically treated,40 to 49,Female,Passenger,19
2017,North Coast,Medically treated,30 to 39,Female,Driver,92
2018,North Coast,Medically treated,60 to 74,Female,Driver,47
2018,Southern,Medically treated,17 to 24,Female,Driver,62
2018,Central,Medically treated,75 and over,Female,Passenger,4
2016,North Coast,Hospitalised,30 to 39,Female,Driver,59
2019,Brisbane,Medically treated,17 to 24,Male,Motorcyclist,33
2018,North Coast,Medically treated,17 to 24,Male,Driver,68
2017,South Eastern,Hospitalised,0 to 16,Male,Pedestrian,17
2017,Central,Hospitalised,17 to 24,Male,Driver,55
2017,Southern,Hospitalised,50 to 59,Male,Driver,49
2016,South Eastern,Medically treated,60 to 74,Male,Motorcyclist,5
2017,North Coast,Minor injury,60 to 74,Male,Bicyclist,2
2016,Southern,Medically treated,30 to 39,Male,Driver,53
2016,South Eastern,Hospitalised,40 to 49,Male,Driver,68
2019,South Eastern,Medically treated,30 to 39,Female,Passenger,22
2015,Brisbane,Minor injury,40 to 49,Female,Driver,58
2015,Brisbane,Medically treated,50 to 59,Male,Driver,78
2013,North Coast,Medically treated,0 to 16,Male,Passenger,41
2017,North Coast,Hospitalised,0 to 16,Male,Passenger,31
2018,North Coast,Minor injury,40 to 49,Male,Driver,46
2014,South Eastern,Medically treated,0 to 16,Male,Bicyclist,6
2014,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,25
2017,South Eastern,Medically treated,17 to 24,Female,Driver,107
2013,Central,Medically treated,30 to 39,Female,Driver,31
2016,Southern,Medically treated,25 to 29,Female,Driver,35
2019,South Eastern,Medically treated,25 to 29,Female,Bicyclist,2
2014,Northern,Hospitalised,17 to 24,Female,Driver,34
2020,South Eastern,Medically treated,17 to 24,Female,Pedestrian,1
2020,Southern,Medically treated,30 to 39,Male,Driver,32
2019,North Coast,Hospitalised,75 and over,Female,Passenger,15
2017,Central,Hospitalised,50 to 59,Male,Bicyclist,1
2019,Central,Hospitalised,25 to 29,Male,Passenger,12
2019,Southern,Medically treated,17 to 24,Male,Driver,51
2020,South Eastern,Hospitalised,17 to 24,Female,Driver,77
2020,Brisbane,Minor injury,25 to 29,Male,Driver,45
2018,Central,Medically treated,25 to 29,Male,Motorcyclist,2
2020,South Eastern,Minor injury,30 to 39,Male,Driver,56
2015,Brisbane,Hospitalised,30 to 39,Female,Bicyclist,6
2015,Brisbane,Minor injury,40 to 49,Female,Pedestrian,1
2015,South Eastern,Hospitalised,30 to 39,Male,Driver,58
2017,Southern,Hospitalised,25 to 29,Female,Driver,31
2019,Far Northern,Hospitalised,25 to 29,Male,Passenger,5
2019,North Coast,Medically treated,60 to 74,Female,Passenger,22
2020,Southern,Hospitalised,60 to 74,Male,Driver,37
2020,Central,Hospitalised,40 to 49,Male,Passenger,6
2020,South Eastern,Medically treated,40 to 49,Male,Motorcyclist,10
2019,Brisbane,Hospitalised,50 to 59,Female,Passenger,17
2019,Far Northern,Medically treated,25 to 29,Male,Driver,9
2016,Central,Medically treated,30 to 39,Female,Passenger,9
2017,North Coast,Medically treated,50 to 59,Female,Driver,52
2019,South Eastern,Minor injury,17 to 24,Female,Driver,45
2016,South Eastern,Medically treated,40 to 49,Female,Driver,121
2015,Northern,Medically treated,25 to 29,Male,Driver,8
2015,Northern,Hospitalised,30 to 39,Male,Passenger,4
2012,Far Northern,Medically treated,17 to 24,Male,Driver,21
2016,North Coast,Hospitalised,75 and over,Female,Driver,22
2019,North Coast,Minor injury,50 to 59,Female,Passenger,10
2020,North Coast,Medically treated,0 to 16,Female,Passenger,27
2020,South Eastern,Minor injury,25 to 29,Female,Driver,28
2020,Central,Hospitalised,25 to 29,Female,Driver,22
2019,Brisbane,Medically treated,30 to 39,Female,Bicyclist,4
2019,Northern,Hospitalised,30 to 39,Male,Driver,24
2019,South Eastern,Hospitalised,40 to 49,Male,Bicyclist,9
2018,North Coast,Medically treated,30 to 39,Female,Driver,87
2018,North Coast,Hospitalised,30 to 39,Male,Pedestrian,2
2014,Brisbane,Medically treated,50 to 59,Female,Passenger,36
2019,North Coast,Minor injury,60 to 74,Male,Bicyclist,3
2017,South Eastern,Minor injury,50 to 59,Male,Driver,49
2017,South Eastern,Hospitalised,60 to 74,Male,Driver,32
2020,Southern,Medically treated,40 to 49,Male,Motorcyclist,4
2020,Southern,Medically treated,60 to 74,Male,Driver,22
2019,Far Northern,Hospitalised,40 to 49,Male,Driver,20
2018,Brisbane,Medically treated,40 to 49,Female,Passenger,30
2018,Northern,Hospitalised,25 to 29,Male,Bicyclist,3
2015,Central,Medically treated,17 to 24,Female,Driver,23
2014,Brisbane,Medically treated,50 to 59,Female,Driver,111
2012,Northern,Minor injury,17 to 24,Female,Passenger,4
2014,Brisbane,Minor injury,0 to 16,Male,Passenger,11
2014,Southern,Hospitalised,17 to 24,Male,Driver,67
2012,Brisbane,Medically treated,17 to 24,Female,Passenger,52
2019,South Eastern,Medically treated,60 to 74,Female,Pedestrian,3
2019,North Coast,Hospitalised,50 to 59,Male,Bicyclist,6
2019,Northern,Minor injury,50 to 59,Female,Driver,2
2016,Brisbane,Hospitalised,40 to 49,Female,Driver,65
2018,Southern,Hospitalised,75 and over,Male,Driver,24
2018,North Coast,Minor injury,30 to 39,Female,Driver,37
2015,Southern,Medically treated,17 to 24,Male,Motorcyclist,11
2015,Northern,Medically treated,50 to 59,Male,Driver,8
2015,Far Northern,Medically treated,17 to 24,Female,Driver,18
2015,North Coast,Minor injury,40 to 49,Female,Driver,21
2017,Southern,Medically treated,17 to 24,Male,Driver,48
2015,South Eastern,Medically treated,75 and over,Female,Driver,12
2019,Central,Minor injury,30 to 39,Female,Driver,10
2019,Southern,Medically treated,60 to 74,Male,Driver,30
2020,North Coast,Medically treated,50 to 59,Female,Driver,59
2016,Northern,Hospitalised,50 to 59,Female,Passenger,6
2019,South Eastern,Hospitalised,25 to 29,Female,Passenger,14
2019,Northern,Medically treated,60 to 74,Male,Passenger,2
2019,South Eastern,Medically treated,30 to 39,Male,Motorcyclist,7
2020,South Eastern,Medically treated,17 to 24,Female,Driver,110
2016,Central,Hospitalised,17 to 24,Male,Passenger,27
2016,North Coast,Hospitalised,40 to 49,Male,Bicyclist,9
2017,North Coast,Medically treated,50 to 59,Male,Driver,38
2012,Brisbane,Medically treated,25 to 29,Female,Driver,104
2019,Northern,Minor injury,60 to 74,Male,Driver,8
2020,South Eastern,Hospitalised,60 to 74,Female,Passenger,7
2020,South Eastern,Hospitalised,40 to 49,Female,Driver,59
2019,North Coast,Minor injury,0 to 16,Female,Pedestrian,3
2015,North Coast,Minor injury,40 to 49,Male,Motorcyclist,3
2015,Southern,Hospitalised,30 to 39,Female,Driver,31
2014,North Coast,Medically treated,60 to 74,Male,Motorcyclist,9
2016,Southern,Medically treated,60 to 74,Female,Driver,37
2014,Brisbane,Hospitalised,50 to 59,Female,Passenger,11
2015,Brisbane,Hospitalised,60 to 74,Male,Motorcyclist,12
2014,Brisbane,Minor injury,25 to 29,Male,Driver,49
2013,Southern,Medically treated,30 to 39,Male,Passenger,9
2013,Southern,Medically treated,50 to 59,Male,Driver,39
2019,Far Northern,Hospitalised,0 to 16,Male,Driver,2
2018,Brisbane,Hospitalised,75 and over,Male,Driver,25
2012,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,30
2018,South Eastern,Medically treated,25 to 29,Male,Motorcyclist,11
2014,North Coast,Medically treated,60 to 74,Female,Driver,51
2020,North Coast,Minor injury,40 to 49,Female,Driver,37
2019,South Eastern,Medically treated,60 to 74,Male,Driver,33
2020,Far Northern,Hospitalised,25 to 29,Female,Bicyclist,2
2018,Southern,Minor injury,25 to 29,Male,Driver,22
2017,South Eastern,Hospitalised,17 to 24,Male,Driver,90
2018,Southern,Minor injury,30 to 39,Male,Passenger,6
2018,Southern,Medically treated,17 to 24,Male,Driver,38
2019,Southern,Hospitalised,50 to 59,Female,Motorcyclist,4
2019,South Eastern,Medically treated,30 to 39,Female,Bicyclist,2
2019,North Coast,Minor injury,17 to 24,Female,Passenger,21
2020,Brisbane,Hospitalised,30 to 39,Male,Passenger,13
2018,Northern,Medically treated,60 to 74,Female,Driver,15
2019,South Eastern,Minor injury,30 to 39,Female,Bicyclist,4
2019,South Eastern,Minor injury,25 to 29,Male,Passenger,10
2015,Far Northern,Medically treated,50 to 59,Male,Motorcyclist,2
2017,South Eastern,Minor injury,30 to 39,Male,Driver,48
2017,Far Northern,Hospitalised,50 to 59,Male,Driver,27
2012,Brisbane,Medically treated,30 to 39,Female,Driver,185
2019,South Eastern,Minor injury,40 to 49,Female,Passenger,10
2019,Northern,Medically treated,25 to 29,Female,Passenger,6
2020,Southern,Medically treated,60 to 74,Male,Motorcyclist,2
2020,Brisbane,Hospitalised,60 to 74,Male,Driver,39
2019,Brisbane,Hospitalised,50 to 59,Female,Motorcyclist,3
2013,Far Northern,Medically treated,25 to 29,Male,Driver,13
2013,Brisbane,Medically treated,75 and over,Male,Driver,28
2012,Southern,Minor injury,0 to 16,Female,Passenger,18
2012,North Coast,Medically treated,30 to 39,Female,Driver,96
2014,Brisbane,Hospitalised,30 to 39,Male,Motorcyclist,52
2012,Brisbane,Minor injury,50 to 59,Female,Passenger,14
2012,Central,Minor injury,40 to 49,Female,Driver,10
2012,Northern,Medically treated,30 to 39,Male,Other,1
2013,South Eastern,Minor injury,17 to 24,Male,Passenger,11
2014,Brisbane,Hospitalised,50 to 59,Male,Motorcyclist,32
2014,Far Northern,Minor injury,17 to 24,Male,Passenger,6
2018,Brisbane,Medically treated,60 to 74,Male,Driver,59
2016,South Eastern,Medically treated,75 and over,Male,Driver,23
2015,South Eastern,Hospitalised,30 to 39,Male,Bicyclist,9
2018,South Eastern,Medically treated,75 and over,Male,Driver,10
2020,South Eastern,Minor injury,30 to 39,Female,Driver,53
2013,Southern,Minor injury,0 to 16,Male,Pedestrian,2
2020,Brisbane,Minor injury,17 to 24,Female,Driver,60
2016,Brisbane,Medically treated,25 to 29,Male,Motorcyclist,28
2019,Brisbane,Medically treated,30 to 39,Female,Pedestrian,10
2018,Brisbane,Medically treated,25 to 29,Female,Passenger,31
2019,South Eastern,Hospitalised,40 to 49,Female,Motorcyclist,9
2018,Central,Fatality,60 to 74,Male,Driver,4
2018,Brisbane,Fatality,0 to 16,Male,Passenger,1
2019,North Coast,Fatality,17 to 24,Male,Driver,4
2017,Far Northern,Minor injury,50 to 59,Male,Driver,7
2017,North Coast,Fatality,17 to 24,Male,Passenger,5
2017,Southern,Medically treated,25 to 29,Male,Passenger,11
2017,North Coast,Medically treated,17 to 24,Female,Passenger,44
2019,Southern,Fatality,60 to 74,Male,Motorcyclist,2
2019,Southern,Minor injury,75 and over,Male,Passenger,3
2018,South Eastern,Medically treated,40 to 49,Male,Driver,93
2019,Central,Hospitalised,40 to 49,Male,Bicyclist,4
2015,Far Northern,Medically treated,17 to 24,Female,Bicyclist,3
2014,Northern,Medically treated,40 to 49,Female,Passenger,3
2015,North Coast,Medically treated,60 to 74,Male,Pedestrian,1
2015,Far Northern,Hospitalised,17 to 24,Female,Driver,25
2012,Brisbane,Minor injury,30 to 39,Female,Passenger,25
2014,Brisbane,Minor injury,17 to 24,Male,Bicyclist,7
2012,South Eastern,Medically treated,25 to 29,Female,Driver,54
2016,Brisbane,Medically treated,25 to 29,Female,Passenger,35
2015,Northern,Medically treated,30 to 39,Male,Driver,18
2019,Central,Hospitalised,30 to 39,Male,Bicyclist,3
2020,Far Northern,Medically treated,Unknown,Female,Passenger,3
2020,South Eastern,Minor injury,60 to 74,Male,Passenger,5
2020,Far Northern,Minor injury,17 to 24,Female,Driver,7
2018,South Eastern,Hospitalised,40 to 49,Male,Bicyclist,9
2020,South Eastern,Hospitalised,50 to 59,Female,Passenger,9
2017,South Eastern,Fatality,0 to 16,Male,Bicyclist,1
2019,Southern,Fatality,50 to 59,Male,Driver,1
2019,North Coast,Minor injury,25 to 29,Female,Motorcyclist,1
2015,North Coast,Minor injury,25 to 29,Female,Passenger,6
2018,Southern,Medically treated,75 and over,Female,Driver,8
2019,North Coast,Medically treated,0 to 16,Male,Pedestrian,8
2019,Brisbane,Medically treated,0 to 16,Female,Driver,1
2019,Southern,Medically treated,25 to 29,Female,Pedestrian,1
2019,North Coast,Hospitalised,0 to 16,Male,Bicyclist,7
2020,Northern,Minor injury,25 to 29,Male,Driver,4
2020,Brisbane,Minor injury,30 to 39,Female,Driver,59
2014,Brisbane,Hospitalised,17 to 24,Female,Passenger,39
2013,Brisbane,Medically treated,30 to 39,Unknown,Driver,1
2015,South Eastern,Medically treated,0 to 16,Female,Bicyclist,1
2015,North Coast,Hospitalised,60 to 74,Male,Driver,60
2015,Brisbane,Hospitalised,60 to 74,Male,Bicyclist,4
2015,Central,Hospitalised,40 to 49,Female,Motorcyclist,5
2016,North Coast,Medically treated,17 to 24,Female,Bicyclist,5
2017,Southern,Minor injury,17 to 24,Female,Passenger,14
2009,Brisbane,Hospitalised,25 to 29,Male,Driver,65
2009,Far Northern,Medically treated,30 to 39,Male,Driver,11
2010,Brisbane,Hospitalised,40 to 49,Male,Driver,78
2009,South Eastern,Medically treated,17 to 24,Female,Driver,148
2010,North Coast,Hospitalised,17 to 24,Male,Driver,88
2009,Central,Hospitalised,17 to 24,Male,Bicyclist,3
2008,South Eastern,Medically treated,17 to 24,Female,Driver,145
2009,Southern,Hospitalised,17 to 24,Male,Driver,68
2009,Brisbane,Minor injury,25 to 29,Male,Driver,59
2009,Northern,Minor injury,50 to 59,Female,Driver,4
2009,South Eastern,Medically treated,60 to 74,Female,Passenger,20
2008,Southern,Medically treated,30 to 39,Male,Driver,48
2009,Southern,Fatality,30 to 39,Female,Passenger,1
2008,Central,Medically treated,40 to 49,Female,Passenger,7
2008,Central,Medically treated,60 to 74,Male,Driver,22
2010,Southern,Minor injury,60 to 74,Female,Driver,11
2009,Southern,Minor injury,17 to 24,Male,Driver,41
2010,Southern,Minor injury,60 to 74,Female,Passenger,10
2008,Northern,Medically treated,17 to 24,Male,Bicyclist,1
2010,Southern,Medically treated,17 to 24,Male,Passenger,29
2009,Southern,Medically treated,50 to 59,Female,Driver,38
2009,North Coast,Minor injury,40 to 49,Male,Motorcyclist,14
2009,Northern,Fatality,17 to 24,Male,Driver,1
2009,Northern,Hospitalised,40 to 49,Male,Motorcyclist,16
2009,Brisbane,Hospitalised,50 to 59,Male,Bicyclist,13
2009,Southern,Minor injury,30 to 39,Male,Driver,41
2009,South Eastern,Hospitalised,17 to 24,Female,Driver,78
2009,Southern,Minor injury,0 to 16,Male,Bicyclist,5
2009,Central,Medically treated,40 to 49,Male,Driver,30
2009,Southern,Medically treated,60 to 74,Male,Driver,23
2011,Southern,Medically treated,25 to 29,Male,Driver,26
2010,South Eastern,Hospitalised,75 and over,Male,Driver,21
2009,Brisbane,Minor injury,25 to 29,Male,Passenger,8
2008,Southern,Minor injury,50 to 59,Female,Driver,20
2009,Central,Hospitalised,25 to 29,Male,Driver,41
2010,North Coast,Hospitalised,30 to 39,Female,Passenger,16
2008,South Eastern,Minor injury,40 to 49,Female,Driver,46
2010,Far Northern,Hospitalised,30 to 39,Male,Driver,29
2009,North Coast,Minor injury,60 to 74,Female,Passenger,9
2009,Far Northern,Minor injury,40 to 49,Male,Motorcyclist,3
2009,Northern,Hospitalised,0 to 16,Male,Pedestrian,7
2010,Central,Medically treated,17 to 24,Female,Passenger,23
2009,Far Northern,Medically treated,75 and over,Male,Driver,9
2009,Far Northern,Hospitalised,40 to 49,Female,Bicyclist,1
2009,Central,Hospitalised,40 to 49,Male,Motorcyclist,17
2009,Southern,Minor injury,50 to 59,Male,Motorcyclist,4
2010,Brisbane,Medically treated,25 to 29,Female,Driver,125
2009,South Eastern,Hospitalised,25 to 29,Female,Driver,33
2009,South Eastern,Hospitalised,17 to 24,Male,Passenger,18
2009,North Coast,Medically treated,40 to 49,Female,Motorcyclist,6
2008,Northern,Medically treated,30 to 39,Female,Driver,29
2009,Central,Hospitalised,25 to 29,Female,Driver,18
2009,Central,Hospitalised,30 to 39,Female,Driver,36
2010,Brisbane,Minor injury,17 to 24,Female,Passenger,39
2009,North Coast,Minor injury,17 to 24,Male,Driver,60
2009,North Coast,Hospitalised,17 to 24,Male,Passenger,28
2009,Southern,Minor injury,40 to 49,Male,Driver,23
2009,Northern,Minor injury,40 to 49,Male,Driver,8
2009,Brisbane,Hospitalised,25 to 29,Female,Driver,59
2009,Brisbane,Minor injury,75 and over,Male,Driver,10
2008,Central,Medically treated,30 to 39,Female,Driver,25
2011,Southern,Hospitalised,40 to 49,Male,Bicyclist,2
2010,Northern,Medically treated,40 to 49,Female,Driver,24
2009,Central,Minor injury,40 to 49,Male,Driver,18
2010,North Coast,Medically treated,40 to 49,Male,Motorcyclist,12
2010,Northern,Hospitalised,0 to 16,Male,Passenger,8
2009,North Coast,Hospitalised,75 and over,Male,Driver,28
2008,Southern,Medically treated,40 to 49,Male,Driver,43
2009,Central,Medically treated,60 to 74,Female,Pedestrian,2
2009,Southern,Hospitalised,17 to 24,Male,Motorcyclist,21
2010,North Coast,Medically treated,75 and over,Female,Driver,20
2008,Far Northern,Medically treated,60 to 74,Female,Driver,16
2009,Far Northern,Hospitalised,25 to 29,Female,Passenger,6
2008,Brisbane,Medically treated,30 to 39,Female,Driver,212
2010,Brisbane,Hospitalised,25 to 29,Female,Driver,54
2008,Southern,Minor injury,17 to 24,Female,Passenger,18
2009,Far Northern,Hospitalised,30 to 39,Male,Motorcyclist,10
2009,Central,Minor injury,0 to 16,Female,Motorcyclist,1
2009,Brisbane,Hospitalised,0 to 16,Female,Motorcyclist,1
2008,North Coast,Minor injury,0 to 16,Female,Passenger,40
2006,South Eastern,Medically treated,17 to 24,Male,Driver,120
2008,Far Northern,Medically treated,40 to 49,Female,Driver,25
2010,Southern,Fatality,30 to 39,Female,Passenger,2
2009,Southern,Minor injury,25 to 29,Male,Driver,25
2009,South Eastern,Medically treated,50 to 59,Male,Bicyclist,7
2008,Central,Minor injury,30 to 39,Female,Driver,23
2009,Brisbane,Minor injury,17 to 24,Female,Passenger,38
2009,Brisbane,Minor injury,17 to 24,Female,Bicyclist,3
2009,Southern,Medically treated,30 to 39,Female,Passenger,20
2009,South Eastern,Medically treated,Unknown,Female,Passenger,5
2010,North Coast,Medically treated,60 to 74,Male,Motorcyclist,4
2009,South Eastern,Minor injury,50 to 59,Male,Motorcyclist,7
2012,Northern,Medically treated,0 to 16,Male,Passenger,22
2011,North Coast,Medically treated,25 to 29,Male,Motorcyclist,3
2011,Southern,Hospitalised,30 to 39,Male,Bicyclist,3
2009,Central,Hospitalised,60 to 74,Male,Motorcyclist,8
2009,North Coast,Hospitalised,17 to 24,Male,Motorcyclist,29
2009,Brisbane,Minor injury,0 to 16,Male,Passenger,21
2009,North Coast,Medically treated,75 and over,Female,Driver,14
2011,Southern,Minor injury,40 to 49,Female,Driver,35
2008,South Eastern,Hospitalised,50 to 59,Female,Driver,35
2008,Brisbane,Hospitalised,75 and over,Male,Pedestrian,4
2010,South Eastern,Hospitalised,30 to 39,Female,Driver,61
2010,South Eastern,Minor injury,50 to 59,Female,Driver,27
2009,Brisbane,Hospitalised,30 to 39,Female,Passenger,17
2009,Far Northern,Hospitalised,60 to 74,Female,Passenger,5
2010,South Eastern,Minor injury,17 to 24,Female,Driver,66
2009,Brisbane,Minor injury,Unknown,Male,Passenger,5
2011,South Eastern,Hospitalised,60 to 74,Female,Passenger,15
2009,Southern,Medically treated,75 and over,Male,Driver,12
2009,Southern,Minor injury,30 to 39,Female,Passenger,7
2009,Central,Medically treated,17 to 24,Female,Driver,51
2009,Northern,Medically treated,25 to 29,Male,Motorcyclist,5
2009,Far Northern,Minor injury,25 to 29,Female,Bicyclist,3
2009,Central,Hospitalised,50 to 59,Female,Pedestrian,2
2009,South Eastern,Medically treated,17 to 24,Female,Motorcyclist,6
2009,South Eastern,Medically treated,40 to 49,Male,Pedestrian,4
2009,Northern,Medically treated,60 to 74,Male,Driver,12
2009,North Coast,Medically treated,0 to 16,Male,Bicyclist,11
2010,North Coast,Medically treated,17 to 24,Female,Passenger,35
2010,South Eastern,Medically treated,0 to 16,Male,Bicyclist,13
2010,Brisbane,Hospitalised,30 to 39,Male,Motorcyclist,60
2009,South Eastern,Hospitalised,50 to 59,Female,Passenger,13
2010,Central,Hospitalised,0 to 16,Female,Passenger,27
2009,Far Northern,Minor injury,17 to 24,Male,Passenger,10
2009,North Coast,Minor injury,17 to 24,Male,Pedestrian,5
2009,Northern,Minor injury,40 to 49,Female,Motorcyclist,1
2008,Brisbane,Minor injury,0 to 16,Female,Passenger,40
2008,Brisbane,Minor injury,0 to 16,Male,Passenger,26
2008,Northern,Medically treated,0 to 16,Female,Passenger,21
2010,Central,Hospitalised,60 to 74,Male,Motorcyclist,5
2008,Southern,Hospitalised,17 to 24,Female,Passenger,22
2009,North Coast,Hospitalised,30 to 39,Male,Pedestrian,6
2008,Brisbane,Hospitalised,50 to 59,Female,Driver,53
2008,North Coast,Minor injury,50 to 59,Male,Driver,43
2008,Southern,Minor injury,17 to 24,Male,Driver,61
2008,Southern,Hospitalised,50 to 59,Female,Passenger,10
2008,Northern,Medically treated,17 to 24,Female,Passenger,17
2008,Northern,Minor injury,25 to 29,Female,Passenger,1
2008,Far Northern,Hospitalised,30 to 39,Female,Passenger,6
2009,Central,Fatality,50 to 59,Male,Driver,5
2009,South Eastern,Medically treated,75 and over,Female,Passenger,12
2008,Central,Medically treated,30 to 39,Male,Driver,37
2010,Northern,Minor injury,17 to 24,Male,Driver,15
2009,Central,Medically treated,25 to 29,Female,Driver,14
2009,Brisbane,Minor injury,50 to 59,Male,Bicyclist,9
2008,South Eastern,Medically treated,60 to 74,Male,Passenger,6
2009,Northern,Hospitalised,30 to 39,Female,Driver,19
2009,Southern,Medically treated,17 to 24,Male,Motorcyclist,5
